name,last_name,number,email,birdate
Иван,Иванов,7115111112,1@mail.ru,01.01.1955
Петр,Петров,7111511112,2@mail.ru,01.02.1960
Михаил,Сидоров,7111114112,13mail.ru,01.03.1965
Алла,Ногиева,7111151112,4@mail.ru,01.04.1970
Анастасия,Лор,7111114112,5@mail.ru,01.05.1975
Ирина,Зорянина,7111118112,6@mail.ru,01.06.1980
Михаил,Витько,7111116112,7@mail.ru,01.07.1985
Виктор,Митько,7111113112,8@mail.ru,01.08.1985
Сьюзи,Дезл,7111511112,9@mail.ru,01.09.1990
Анна,Бортик,7111151112,10@mail.ru,01.10.1995
Людмила,Филини,7111115112,10@mail.ru,01.11.2000
Екатерина,Злат,7111411115,10@mail.ru,02.12.2001
